CODE,BULK LBR,BULK RATE,PRODUCT,WEIGHT,RSLR LBR,RESELLER RATE,CUST LBR,RETAIL RATE,RETAIL            T. PRICE,245,,BULK CODE,RSLR CODE,CUST CODE,
ACC02-01,599,599,Exclusive CNC 925 Silver Rakhi,PC,689,689,839,839,839,,,BGG,LNG,NAG,
ACC02-02,599,599,Exclusive CNC 925 Silver Rakhi,PC,689,689,839,839,839,,,BGG,LNG,NAG,
ACC02-03,599,599,Exclusive CNC 925 Silver Rakhi,PC,689,689,839,839,839,,,BGG,LNG,NAG,
ACC02-04,599,599,Exclusive CNC 925 Silver Rakhi,PC,689,689,839,839,839,,,BGG,LNG,NAG,
ACC02-05,599,599,Exclusive CNC 925 Silver Rakhi,PC,689,689,839,839,839,,,BGG,LNG,NAG,
ACC02-06,599,599,Exclusive CNC 925 Silver Rakhi,PC,689,689,839,839,839,,,BGG,LNG,NAG,
ACC02-07,599,599,Exclusive CNC 925 Silver Rakhi,PC,689,689,839,839,839,,,BGG,LNG,NAG,
ACC02-08,599,599,Exclusive CNC 925 Silver Rakhi,PC,689,689,839,839,839,,,BGG,LNG,NAG,
ACC02-09,599,599,Exclusive CNC 925 Silver Rakhi,PC,689,689,839,839,839,,,BGG,LNG,NAG,
ACC02-10,599,599,Exclusive CNC 925 Silver Rakhi,PC,689,689,839,839,839,,,BGG,LNG,NAG,
ACC03-01,65,310,Sparkle CZ Saree Pins,3.20,112,357,189,434,"1,389",,,LB,RRO,RNG,
ACC03-02,65,310,Sparkle CZ Saree Pins,2.10,112,357,189,434,911,,,LB,RRO,RNG,
ACC03-03,65,310,Sparkle CZ Saree Pins,2.75,112,357,189,434,"1,194",,,LB,RRO,RNG,
ACC03-04,65,310,Sparkle CZ Saree Pins,2.85,112,357,189,434,"1,237",,,LB,RRO,RNG,
ACC03-05,65,310,Sparkle CZ Saree Pins,3.00,112,357,189,434,"1,302",,,LB,RRO,RNG,
ACC03-06,65,310,Sparkle CZ Saree Pins,3.30,112,357,189,434,"1,432",,,LB,RRO,RNG,
ACC03-07,65,310,Sparkle CZ Saree Pins,3.10,112,357,189,434,"1,345",,,LB,RRO,RNG,
ACC03-08,65,310,Sparkle CZ Saree Pins,2.95,112,357,189,434,"1,280",,,LB,RRO,RNG,
ACC03-09,65,310,Sparkle CZ Saree Pins,3.25,112,357,189,434,"1,411",,,LB,RRO,RNG,
ACC03-10,65,310,Sparkle CZ Saree Pins,2.90,112,357,189,434,"1,259",,,LB,RRO,RNG,
ACC04-01,180,425,Moissanite Premium Brooch,14.40,244,489,350,595,"8,568",,,RNX,OZZ,ABX,
ACC04-02,180,425,Moissanite Premium Brooch,10.70,244,489,350,595,"6,367",,,RNX,OZZ,ABX,
ACC04-04,180,425,Moissanite Premium Brooch,11.00,244,489,350,595,"6,545",,,RNX,OZZ,ABX,
ACC04-05,180,425,Moissanite Premium Brooch,10.70,244,489,350,595,"6,367",,,RNX,OZZ,ABX,
ACC04-06,180,425,Moissanite Premium Brooch,10.90,244,489,350,595,"6,486",,,RNX,OZZ,ABX,
ACC04-07,180,425,Moissanite Premium Brooch,11.40,244,489,350,595,"6,783",,,RNX,OZZ,ABX,
ACC04-08,180,425,Moissanite Premium Brooch,11.20,244,489,350,595,"6,664",,,RNX,OZZ,ABX,
ACC04-09,180,425,Moissanite Premium Brooch,31.75,244,489,350,595,"18,891",,,RNX,OZZ,ABX,
ACC04-10,180,425,Moissanite Premium Brooch,23.00,244,489,350,595,"13,685",,,RNX,OZZ,ABX,
ACC05-01,13499,"13,499",Exclusive Aviator Sunglasses,PC,"15,524","15,524","18,899","18,899","18,899",,,RAZGG,RBBOZ,RNNGG,
ACC06-01,290,535,Imported Enamel Brooches,8.00,370,615,504,749,"5,992",,,OGX,AIX,BXZ,
ACC06-02,290,535,Imported Enamel Brooches,8.50,370,615,504,749,"6,367",,,OGX,AIX,BXZ,
ACC06-03,290,535,Imported Enamel Brooches,7.60,370,615,504,749,"5,692",,,OGX,AIX,BXZ,
ACC06-04,290,535,Imported Enamel Brooches,7.50,370,615,504,749,"5,618",,,OGX,AIX,BXZ,
ACC07-01,290,535,Turkey Micro Excl. Brooch,10.00,370,615,504,749,"7,490",,,OGX,AIX,BXZ,
ACC07-02,290,535,Turkey Micro Excl. Brooch,10.05,370,615,504,749,"7,527",,,OGX,AIX,BXZ,
ACC07-03,290,535,Turkey Micro Excl. Brooch,17.30,370,615,504,749,"12,958",,,OGX,AIX,BXZ,
ACC08-01,280,280,Fancy 999 Silver Rakhi,PC,322,322,392,392,392,,,ONX,AOO,AGO,
ACC08-04,280,280,Fancy 999 Silver Rakhi,PC,322,322,392,392,392,,,ONX,AOO,AGO,
ACC08-05,280,280,Fancy 999 Silver Rakhi,PC,322,322,392,392,392,,,ONX,AOO,AGO,
ACC08-08,280,280,Fancy 999 Silver Rakhi,PC,322,322,392,392,392,,,ONX,AOO,AGO,
ACC08-09,280,280,Fancy 999 Silver Rakhi,PC,322,322,392,392,392,,,ONX,AOO,AGO,
ACC08-10,280,280,Fancy 999 Silver Rakhi,PC,322,322,392,392,392,,,ONX,AOO,AGO,
ACC09-01,280,280,Silver Rakhi - ED1,PC,322,322,392,392,392,,,ONX,AOO,AGO,
ACC09-02,280,280,Silver Rakhi - ED1,PC,322,322,392,392,392,,,ONX,AOO,AGO,
ACC10-01,1499,"1,499",Silver Rakhi - ED2,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ACC11-01,399,399,Silver Rakhi - ED3,PC,459,459,559,559,559,,,AGG,ZBG,BBG,
ACC11-05,399,399,Silver Rakhi - ED3,PC,459,459,559,559,559,,,AGG,ZBG,BBG,
ACC11-06,399,399,Silver Rakhi - ED3,PC,459,459,559,559,559,,,AGG,ZBG,BBG,
ACC12-01,690,690,Silver Rakhi - ED4,PC,794,794,966,966,966,,,LGX,IGZ,GLL,
ACC12-02,690,690,Silver Rakhi - ED4,PC,794,794,966,966,966,,,LGX,IGZ,GLL,
ACC12-03,690,690,Silver Rakhi - ED4,PC,794,794,966,966,966,,,LGX,IGZ,GLL,
ACC13-02,480,480,Classic 925 Silver Rakhi Belt,PC,552,552,672,672,672,,,ZNX,BBO,LIO,
ACC13-03,480,480,Classic 925 Silver Rakhi Belt,PC,552,552,672,672,672,,,ZNX,BBO,LIO,
ACC13-05,480,480,Classic 925 Silver Rakhi Belt,PC,552,552,672,672,672,,,ZNX,BBO,LIO,
ACC13-06,480,480,Classic 925 Silver Rakhi Belt,PC,552,552,672,672,672,,,ZNX,BBO,LIO,
ACC13-07,480,480,Classic 925 Silver Rakhi Belt,PC,552,552,672,672,672,,,ZNX,BBO,LIO,
